('100101000', '000010101'): 6
('101000010', '000010101'): 3
('101001000', '000010101'): 1
('101100000', '000010101'): 1
('110000010', '000010101'): 6
('110001000', '000010101'): 6
('110100000', '000010101'): 3
('111000000', '000010101'): 3
('000101001', '000010110'): 8
('001001001', '000010110'): 8
('001100001', '000010110'): 8
('001101000', '000010110'): 8
('010001001', '000010110'): 6
('010100001', '000010110'): 6
('010101000', '000010110'): 0
('011000001', '000010110'): 8
('011001000', '000010110'): 0
('011100000', '000010110'): 0
('100001001', '000010110'): 6
('100100001', '000010110'): 6
('100101000', '000010110'): 0
('101000001', '000010110'): 3
('101001000', '000010110'): 0
('101100000', '000010110'): 0
('110000001', '000010110'): 5
('110001000', '000010110'): 5
('110100000', '000010110'): 3
('111000000', '000010110'): 0
('011101000', '000010111'): None
('101101000', '000010111'): None
('110101000', '000010111'): None
('111001000', '000010111'): None
('111100000', '000010111'): None
('000000011', '000011000'): 8
('000000101', '000011000'): 8
('000000110', '000011000'): 8
('000100001', '000011000'): 8
('000100010', '000011000'): 8
('000100100', '000011000'): 8
('001000001', '000011000'): 8
('001000010', '000011000'): 8
('001000100', '000011000'): 8
('001100000', '000011000'): 8
('010000001', '000011000'): 6
('010000010', '000011000'): 6
('010000100', '000011000'): 8
('010100000', '000011000'): 6
('011000000', '000011000'): 8
('100000001', '000011000'): 7
('100000010', '000011000'): 7
('100000100', '000011000'): 7
('100100000', '000011000'): 7
('101000000', '000011000'): 7
('110000000', '000011000'): 5
('000100110', '000011001'): 8
('001000110', '000011001'): 8
('001100010', '000011001'): 8
('001100100', '000011001'): 8
('010000110', '000011001'): 6
('010100010', '000011001'): 2
('010100100', '000011001'): 6
('011000010', '000011001'): 2
('011000100', '000011001'): 8
('011100000', '000011001'): 2
('100000110', '000011001'): 6
('100100010', '000011001'): 2
('100100100', '000011001'): 6
('101000010', '000011001'): 2
('101000100', '000011001'): 1
('101100000', '000011001'): 2
('110000010', '000011001'): 5
('110000100', '000011001'): 5
('110100000', '000011001'): 6
('111000000', '000011001'): 2
('000100101', '000011010'): 8
('001000101', '000011010'): 8
('001100001', '000011010'): 8
('001100100', '000011010'): 8
('010000101', '000011010'): 6
('010100001', '000011010'): 2
('010100100', '000011010'): 0
('011000001', '000011010'): 2
('011000100', '000011010'): 0
('011100000', '000011010'): 0
('100000101', '000011010'): 6
('100100001', '000011010'): 2
('100100100', '000011010'): 0
('101000001', '000011010'): 2
('101000100', '000011010'): 0
('101100000', '000011010'): 0
('110000001', '000011010'): 5
('110000100', '000011010'): 5
('110100000', '000011010'): 6
('111000000', '000011010'): 0
('011100100', '000011011'): None
('101100100', '000011011'): None
('110100100', '000011011'): None
('111000100', '000011011'): None
('111100000', '000011011'): None
('000100011', '000011100'): 8
('001000011', '000011100'): 8
('001100001', '000011100'): 8
('001100010', '000011100'): 8
('010000011', '000011100'): 6
('010100001', '000011100'): 6
('010100010', '000011100'): 0
('011000001', '000011100'): 8
('011000010', '000011100'): 0
('011100000', '000011100'): 0
('100000011', '000011100'): 6
('100100001', '000011100'): 6
('100100010', '000011100'): 0
('101000001', '000011100'): 1
('101000010', '000011100'): 0
('101100000', '000011100'): 0
('110000001', '000011100'): 5
('110000010', '000011100'): 5
('110100000', '000011100'): 1
('111000000', '000011100'): 0
('011100010', '000011101'): None
('101100010', '000011101'): None
('110100010', '000011101'): None
('111000010', '000011101'): None
('111100000', '000011101'): None
