('000001010', '001010000'):963.141111111112
('000001010', '001100000'):963.141111111112
('000001010', '010000001'):1083.5337499999964
('000001010', '010000100'):1083.5337499999964
('000001010', '010010000'):1083.5337499999964
('000001010', '010100000'):1083.5337499999964
('000001010', '011000000'):1083.5337499999964
('000001010', '100000001'):1083.2206249999983
('000001010', '100000100'):1083.2206249999983
('000001010', '100010000'):1083.2206249999983
('000001010', '100100000'):1083.2206249999983
('000001010', '101000000'):1083.2206249999983
('000001010', '110000000'):1182.0780476190357
('000001011', '000110100'):30.978444444444392
('000001011', '001010100'):30.978444444444392
('000001011', '001100100'):31.53511111111107
('000001011', '001110000'):30.978444444444392
('000001011', '010010100'):34.8507499999999
('000001011', '010100100'):35.476999999999904
('000001011', '010110000'):34.8507499999999
('000001011', '011000100'):35.476999999999904
('000001011', '011010000'):34.8507499999999
('000001011', '011100000'):35.476999999999904
('000001011', '100010100'):34.8507499999999
('000001011', '100100100'):35.476999999999904
('000001011', '100110000'):34.8507499999999
('000001011', '101000100'):35.476999999999904
('000001011', '101010000'):34.8507499999999
('000001011', '101100000'):35.476999999999904
('000001011', '110000100'):40.54514285714266
('000001011', '110010000'):39.82942857142836
('000001011', '110100000'):40.54514285714266
('000001011', '111000000'):40.54514285714266
('000001100', '000000011'):963.141111111112
('000001100', '000010001'):963.141111111112
('000001100', '000010010'):963.141111111112
('000001100', '000100001'):963.141111111112
('000001100', '000100010'):963.141111111112
('000001100', '000110000'):963.141111111112
('000001100', '001000001'):963.141111111112
('000001100', '001000010'):963.141111111112
('000001100', '001010000'):963.141111111112
('000001100', '001100000'):963.141111111112
('000001100', '010000001'):1083.5337499999964
('000001100', '010000010'):1083.5337499999964
('000001100', '010010000'):1083.5337499999964
('000001100', '010100000'):1083.5337499999964
('000001100', '011000000'):1083.5337499999964
('000001100', '100000001'):1083.2206249999983
('000001100', '100000010'):1083.2206249999983
('000001100', '100010000'):1083.2206249999983
('000001100', '100100000'):1083.2206249999983
('000001100', '101000000'):1083.2206249999983
('000001100', '110000000'):1182.0780476190357
('000001101', '000110010'):30.978444444444392
('000001101', '001010010'):30.978444444444392
('000001101', '001100010'):31.53511111111107
('000001101', '001110000'):30.978444444444392
('000001101', '010010010'):34.8507499999999
('000001101', '010100010'):35.476999999999904
('000001101', '010110000'):34.8507499999999
('000001101', '011000010'):35.476999999999904
('000001101', '011010000'):34.85074999999989
('000001101', '011100000'):35.476999999999904
('000001101', '100010010'):34.8507499999999
('000001101', '100100010'):35.476999999999904
('000001101', '100110000'):34.8507499999999
('000001101', '101000010'):35.476999999999904
('000001101', '101010000'):34.22449999999989
('000001101', '101100000'):35.476999999999904
('000001101', '110000010'):40.54514285714266
('000001101', '110010000'):39.82942857142836
('000001101', '110100000'):40.54514285714266
('000001101', '111000000'):40.54514285714266
('000001110', '000110001'):30.978444444444392
('000001110', '001010001'):30.978444444444392
('000001110', '001100001'):31.53511111111107
('000001110', '001110000'):30.978444444444392
('000001110', '010010001'):34.8507499999999
('000001110', '010100001'):35.476999999999904
('000001110', '010110000'):34.8507499999999
('000001110', '011000001'):35.476999999999904
('000001110', '011010000'):34.8507499999999
('000001110', '011100000'):35.476999999999904
('000001110', '100010001'):34.8507499999999
('000001110', '100100001'):35.476999999999904
('000001110', '100110000'):34.8507499999999
('000001110', '101000001'):35.476999999999904
('000001110', '101010000'):34.8507499999999
('000001110', '101100000'):35.476999999999904
('000001110', '110000001'):40.54514285714266
('000001110', '110010000'):39.82942857142836
('000001110', '110100000'):40.54514285714266
('000001110', '111000000'):40.54514285714266
('000001111', '011110000'):0
('000001111', '101110000'):0
('000001111', '110110000'):0
('000001111', '111010000'):0
('000001111', '111100000'):0
('000010000', '000000001'):8366.272033333282
('000010000', '000000010'):8366.272033333282
('000010000', '000000100'):8366.272033333282
('000010000', '000001000'):8366.272033333282
('000010000', '000100000'):8366.272033333282
('000010000', '001000000'):8366.272033333282
('000010000', '010000000'):9410.412131250016
('000010000', '100000000'):9412.05603750001
('000010001', '000000110'):963.141111111112
('000010001', '000001010'):963.141111111112
('000010001', '000001100'):963.141111111112
('000010001', '000100010'):963.141111111112
('000010001', '000100100'):963.141111111112
('000010001', '000101000'):963.141111111112
('000010001', '001000010'):963.141111111112
('000010001', '001000100'):963.141111111112
('000010001', '001001000'):963.141111111112
('000010001', '001100000'):963.141111111112
('000010001', '010000010'):1083.5337499999964
('000010001', '010000100'):1083.5337499999964
('000010001', '010001000'):1083.5337499999964
('000010001', '010100000'):1083.5337499999964
('000010001', '011000000'):1083.5337499999964
('000010001', '100000010'):1083.2206249999983
('000010001', '100000100'):1083.2206249999983
('000010001', '100001000'):1083.2206249999983
('000010001', '100100000'):1083.2206249999983
('000010001', '101000000'):1083.2206249999983
('000010001', '110000000'):1182.0780476190357
('000010010', '000000101'):963.141111111112
('000010010', '000001001'):963.141111111112
('000010010', '000001100'):963.141111111112
('000010010', '000100001'):963.141111111112
('000010010', '000100100'):963.141111111112
('000010010', '000101000'):963.141111111112
('000010010', '001000001'):963.141111111112
('000010010', '001000100'):963.141111111112
('000010010', '001001000'):963.141111111112
('000010010', '001100000'):963.141111111112
('000010010', '010000001'):1083.5337499999964
('000010010', '010000100'):1083.5337499999964
('000010010', '010001000'):1083.5337499999964
('000010010', '010100000'):1083.5337499999964
('000010010', '011000000'):1083.5337499999964
('000010010', '100000001'):1083.2206249999983
('000010010', '100000100'):1083.2206249999983
